"""TMA000511""",1,KT22,6.6875
"""TMA000511""",2,KT21,6.6875
"""TMA000511""",3,CN2,6.6875
"""TMA000511""",4,KT11,6.6875
"""ABC092578""",1,KT14,7.8125
"""ABC092578""",2,KT21,7.8125
"""ABC092578""",3,CN2,7.8125
"""ABC092578""",4,KT31,7.8125
"""TMA040455""",1,KT14,6.5625
"""TMA040455""",2,KT11,6.5625
"""TMA040455""",3,KT22,6.5625
"""ABC045869""",1,KQ3,6.33333333333333
"""TLA014351""",1,TA1,5.125
"""TLA014351""",2,KT31,6.875
"""ABC092839""",1,KT11,7.0
"""ABC092839""",2,CN2,7.0
"""SPB095845""",1,KT31,7.0
"""ABC063811""",1,KT31,6.3125
"""ABC061239""",1,KT31,7.5625
"""ABC061239""",2,KQ1,7.66666666666667
"""ABC061239""",3,KT21,7.5625
"""ABC061239""",4,KT13,7.5625
"""ABC021819""",1,KT23,6.375
"""ABC021819""",2,KT12,6.375
"""ABC021819""",3,KT22,6.375
"""ABC021819""",4,CN2,6.375
"""TLA047969""",1,KT23,6.0625
"""TLA047969""",2,KT51,6.25
"""TLA047969""",3,KT31,6.0625
"""TLA047969""",4,KT22,6.0625
"""BKT059752""",1,KT12,6.5625
"""BKT059752""",2,KT21,6.5625
"""ABC082388""",1,KT51,6.08333333333333
"""SPB067211""",1,KT11,5.875
"""SPB067211""",2,KT21,5.875
"""SPB067211""",3,KT14,5.875
"""CON000991""",1,KT21,6.9375
"""CON000991""",2,KT23,6.9375
"""CON000991""",3,KT22,6.9375
"""CON000991""",4,CN3,6.9375
"""TMA084609""",1,KT21,5.8125
"""ABC066135""",1,KT22,6.6875
"""ABC066135""",2,KT23,6.6875
"""ABC066135""",3,KT13,6.6875
"""ABC066135""",4,KT51,6.75
"""TMA035689""",1,KT13,6.25
"""TMA035689""",2,KT21,6.25
"""TMA035689""",3,KT12,6.25
"""TMA035689""",4,CN1,6.25
"""TLA005926""",1,TA1,5.4375
"""KTA030438""",1,CN2,7.125
"""KTA030438""",2,KT22,7.125
"""KTA030438""",3,KT21,7.125
"""KTA030438""",4,KT12,7.125
"""ABC029955""",1,KT31,6.8125
"""TMA027386""",1,KT31,5.0
"""CON063301""",1,KQ1,6.66666666666667
"""TLA011139""",1,QT11,6.58333333333333
"""TLA011139""",2,KT31,7.625
